node,group,url,rss,facebook,weight,formula,comments
Arié Alimi,Ligue des droits de l’homme,https://fr.wikipedia.org/wiki/Ari%C3%A9_Alimi,,,,,
Ariel Weil,Mairie de Paris,,,,,,
Pierre Aidenbaum,Mairie de Paris,,,,,,
Karen Taïeb,Mairie de Paris,,,,,,
Virginie Schwarz,Météo-France,,,,,,
Jean-François Kahn,Mouvement démocrate,https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Kahn,,,,,
Corinne Lepage,Mouvement démocrate,https://fr.wikipedia.org/wiki/Corinne_Lepage,,,,,
Alain Krivine,Nouveau Parti anticapitaliste,,,,,,
Daniel Bensaïd,Nouveau Parti anticapitaliste,,,,,,
Audrey Azoulay,Organisation des Nations Unies,,,,,,
Ian Brossat,Mairie de Paris,,,,,,
Pascal Cherki,Parti socialiste,,,,,,
Vincent Peillon,Parti socialiste,,,,,,
Pierre Moscovici,Parti socialiste,,,,,,
Adeline Hazan,Parti socialiste,,,,,,
Jack Lang,Parti socialiste,,,,,,
Patrick Klugman,Mairie de Paris,,,,,,
Robert Badinter,Parti socialiste,https://fr.wikipedia.org/wiki/Robert_Badinter,,,,,
Georges Kiejman,Parti socialiste,https://fr.wikipedia.org/wiki/Georges_Kiejman,,,,,
Laurent Fabius,Parti socialiste,,,,,,
Henri Weber,Parti socialiste,https://fr.wikipedia.org/wiki/Henri_Weber,,,,,
Danièle Hoffman-Rispal,Parti socialiste,https://fr.wikipedia.org/wiki/Dani%C3%A8le_Hoffman-Rispal,,,,,
Dominique Strauss-Kahn,Parti socialiste,,,,,,
Stéphane Fouks,Parti socialiste,,,,,,
Maurice Lévy,Publicis,https://fr.wikipedia.org/wiki/Maurice_L%C3%A9vy_(publicitaire),,,,,
Arthur Sadoun,Publicis,https://fr.wikipedia.org/wiki/Arthur_Sadoun,,,,,
Élisabeth Badinter,Publicis,https://fr.wikipedia.org/wiki/%C3%89lisabeth_Badinter,,,,,
Nicolas Demorand,Radio France,,,,,,
Raphaël Enthoven,Radio France,,,,,,
Alain Finkielkraut,Radio France,,,,,,
Claude Askolovitch,Radio France,https://fr.wikipedia.org/wiki/Claude_Askolovitch,,,,,
Serge Federbusch,Rassemblement national,,,,,,
Stéphane Bern,RTL,,,,,,
Esther Benbassa,Sénat,,,,,,
Cécile Cukierman,Sénat,,,,,,
Laurence Cohen,Sénat,,,,,,
Michel Amiel,Sénat,,,,,,
Roger Karoutchi,Sénat,,,,,,
David Assouline,Sénat,,,,,,
Patrick Kanner,Sénat,,,,,,
Nathalie Goulet,Sénat,,,,,,
Marek Halter,SOS Racisme,,,,,,
André Bercoff,Sud Radio,,,,,,
Armand Abécassis,Industrie culturelle,,,,,,
Éliette Abécassis,Industrie culturelle,,,,,,
Élie Semoun,Humoristes,,,,,,
Bruno Mars,Industrie musicale,,,,,,
Catherine Ringer,Industrie musicale,,,,,,
Christine Angot,Industrie culturelle,,,,,,
Christophe Dechavanne,Groupe TF1,https://fr.wikipedia.org/wiki/Christophe_Dechavanne,,,,,
Daniel Schneidermann,Journalisme,,,,,,
David Guetta,Industrie musicale,,,,,,
Fabien Namias,Europe 1,,,,,,
Richard Anconina,Industrie du cinéma,,,,,,
Emmanuel Levy,NRJ,,,,,,
Gérard Darmon,Industrie du cinéma,,,,,,
Enrico Macias,Industrie musicale,,,,,,
Daniela Lumbroso,France Télévisions,,,,,,
Nathalie Levy,BFM,,,,,,
Étienne Balibar,Industrie culturelle,,https://fr.wikipedia.org/wiki/%C3%89tienne_Balibar,,,,
Evelyne Chétrite,Industrie de la mode,,,,,,
Judith Milgrom,Industrie de la mode,,,,,,
Francis Huster,Industrie du cinéma,,,,,,
Franck Provost,Industrie de la mode,https://fr.wikipedia.org/wiki/Tristan_Mend%C3%A8s_France,,,,,
François Samuelson,Industrie culturelle,,,,,,
Alain Chabat,Industrie du cinéma,,,,,,
Georges-Marc Benamou,Journalisme,,https://fr.wikipedia.org/wiki/Georges-Marc_Benamou,,,,
Ilana Cicurel,La République en marche,,,,,,
Gérard Miller,Le Média,,,,,,
Jacques-Alain Miller,Industrie culturelle,,,,,,
Dominique Farrugia,Industrie du cinéma,,,,,,
Yvan Attal,Industrie du cinéma,,,,,,
Yvan Attal,Industrie du cinéma,,,,,,
Raphaël Mezrahi,Humoristes,,,,,,
Michel Boujenah,Industrie du cinéma,,,,,,
Gilles Cohen-Solal,Industrie culturelle,,,,,,
Gilles Finchelstein,Fondation Jean-Jaurès,,,,,,
Greg Lansky,Industrie pornographique,,,,,,
Grégoire Chertok,Marie de Paris,,,,,,
Emmanuelle Béart,Industrie du cinéma,,,,,,
Guy Konopnicki,Journalisme,,,,,,
Henri Weber,Parti socialiste,,,,,,
Hervé Mariton,Commission trilatérale,,,,,,
Jean-Louis Missika,Mairie de Paris,,,,,,
Paul Simondon,Mairie de Paris,,,,,,
Isabelle Huppert,Industrie musicale,,,,,,
Maxime Saada,Groupe Canal+,,,,,,
Élisabeth Roudinesco,Industrie culturelle,,,,,,
Jean Benguigui,Industrie du cinéma,,,,,,
Alexandre Arcady,Industrie du cinéma,,,,,,
Olivier Sitruk,Industrie du cinéma,,,,,,
Benjamin Lancar,Les Républicains,,,,,,
Jean-François Dérec,Humoristes,,,,,,
Jean-Jacques Goldman,Industrie musicale,,,,,,
Pierre Arditi,Industrie du cinéma,,,,,,
Jean-Louis Debré,Les Républicains,,,,,,
Jean-Luc Reichmann,Groupe TF1,,,,,,
Jean-Michel Cohen,Médecine,,,,,,
Michel Leeb,Humoristes,,,,,,
Jean-Yves Camus,Fondation Jean-Jaurès,,,,,,
Jérôme Clément,France Télévisions,,,,,,
Johanna Barasz,DILCRAH,,,,,,
Tal Bruttmann,EHESS,,,,,,
Bruno Karsenti,EHESS,,,,,,
Danny Trom,CNRS,,,,,,
Jonathan Cohen,Industrie du cinéma,,,,,,
Marina Foïs,Industrie du cinéma,,,,,,
Judith Waintraub,Journalisme,,,,,,
Julien Dray,Parti socialiste,,,,,,
Laure Adler,Radio France,,,,,,
Laurence Bloch,Radio France,,,,,,
Lenny Kravitz,Industrie musicale,,,,,,
Louis Aliot,Rassemblement national,,,,,,
Louis Dreyfus,Le Monde,,,,,,
Louis Garrel,Industrie du cinéma,,,,,,
Grégory Dorcel,Industrie pornographique,,,,,,
Marc Fiorentino,BFM,,,,,,
Marc Kravetz,Radio France,,,,,,
Marc Peschanski,Médecine,,,,,,
Marie Benoliel,Humoristes,,,,,,
Rebecca Zlotowski,Industrie du cinéma,,,,,,
Martin Hirsch,Médecine,,,,,,
Vincent Elbaz,Industrie du cinéma,,,,,,
Pascal Elbé,Industrie du cinéma,,,,,,
Mathieu Kassovitz,Industrie du cinéma,,,,,,
Élie Chouraqui,Industrie du cinéma,,,,,,
Sandrine Kiberlain,Industrie du cinéma,,,,,,
Richard Berry,Industrie du cinéma,,,,,,
Max Boublil,Humoristes,,,,,,
Léa Drucker,Industrie du cinéma,,,,,,
Michel David-Weill,Institut de France,,,,,,
Michel Jonasz,Industrie musicale,,,,,,
Michel Wieviorka,DILCRAH,,,,,,
Michèle Barzach,Les Républicains,,,,,,
Mickaël Szerman,Les Républicains,,,,,,
Alexandre Adler,Loge nationale française,,,,,,
Charlotte Gainsbourg,Industrie du cinéma,,,,,,
Valérie Bénaïm,Groupe Canal+,,,,,,
Joyce Jonathan,Industrie musicale,,,,,,
Tomer Sisley,Humoristes,,,,,,
Thomas Misrachi,BFM,,,,,,
Thomas Langmann,Industrie du cinéma,,,,,,
Thomas Bangalter,Industrie musicale,,,,,,
Thierry Lhermitte,Industrie du cinéma,,,,,,
Patrick Timsit,Industrie du cinéma,,,,,,
Sylvie Wieviorka,Mairie de Paris,,,,,,
Steve Suissa,Industrie du cinéma,,,,,,
Simon Ghraichy,Industrie musicale,,,,,,
Serge Moati,France Télévisions,,,,,,
Serge Khalfon,Industrie musicale,,,,,,
Sean Paul,Industrie musicale,,,,,,
Roger Karoutchi,Les Républicains,,,,,,
Richard Kolinka,Industrie musicale,,,,,,
Louis Bertignac,Industrie musicale,,,,,,
Raphaël Elicha ,Industrie de la mode,,,,,,
Alexandre Elicha,Industrie de la mode,,,,,,
Laurent Elicha,Industrie de la mode,,,,,,
Mélanie Laurent,Industrie du cinéma,,,,,,
Pierre Niney,Industrie du cinéma,,,,,,
Pierre Joxe,Parti socialiste,,,,,,
Pierre Bellanger,Skyrock,,,,,,
Patrick Pariente,Industrie de la mode,,,,,,
Gérard Pariente,Industrie de la mode,,,,,,
Olivier Nakache,Industrie du cinéma,,,,,,
Éric Toledano,Industrie du cinéma,,,,,,
Olivier Dassault,Les Républicains,,,,,,
Odile Jacob,Industrie culturelle,,,,,,
Serge Halimi,Le Monde diplomatique,,,,,,
