source,target,type
Charlotte Gainsbourg,Acteurs,solid
Thomas Langmann,Réalisateurs,solid
Thierry Lhermitte,Acteurs,solid
Patrick Timsit,Acteurs,solid
Steve Suissa,Acteurs,solid
Mélanie Laurent,Acteurs,solid
Pierre Niney,Acteurs,solid
Olivier Nakache,Réalisateurs,solid
Éric Toledano,Réalisateurs,solid
Patrick Bruel,Industrie musicale,solid
Dave,Industrie musicale,solid
Gilbert Montagné,Industrie musicale,solid
Catherine Ringer,Industrie musicale,solid
David Guetta,Industrie musicale,solid
Enrico Macias,Industrie musicale,solid
Isabelle Huppert,Industrie musicale,solid
Jean-Jacques Goldman,Industrie musicale,solid
Lenny Kravitz,Industrie musicale,solid
Michel Jonasz,Industrie musicale,solid
Joyce Jonathan,Industrie musicale,solid
Thomas Bangalter,Industrie musicale,solid
Simon Ghraichy,Industrie musicale,solid
Serge Khalfon,Industrie musicale,solid
Sean Paul,Industrie musicale,solid
Richard Kolinka,Industrie musicale,solid
Louis Bertignac,Industrie musicale,solid
Marc Dorcel,Industrie pornographique,solid
Fabian Thylmann,Industrie pornographique,solid
David Marmorstein,Industrie pornographique,solid
James Deen,Industrie pornographique,solid
Greg Lansky,Industrie pornographique,solid
Grégory Dorcel,Industrie pornographique,solid
Pierre Nora,Institut de France,solid
Bernard Stirn,Institut de France,solid
Michel David-Weill,Institut de France,solid
Dominique Moïsi,Institut Montaigne,solid
Daniel Schneidermann,Journalistes,solid
Georges-Marc Benamou,Journalistes,solid
Guy Konopnicki,Journalistes,solid
Judith Waintraub,Journalistes,solid
Anne Rosencher,L’Express,solid
Dominique Nora,L’Obs,solid
Ilana Cicurel,La République en marche,solid
Mathias Enthoven,Le Média,solid
Gérard Miller,Le Média,solid
Antoine Spire,Le Monde,solid
Louis Dreyfus,Le Monde,solid
Alain Gresh,Le Monde diplomatique,solid
Serge Halimi,Le Monde diplomatique,solid
Bernard-Henri-Lévy,Le Point,solid
Patrick Balkany,Les Républicains,solid
Jean-François Copé,Les Républicains,solid
Valérie Hoffenberg,Les Républicains,solid
Benjamin Lancar,Les Républicains,dotted
Jean-Louis Debré,Les Républicains,solid
Michèle Barzach,Les Républicains,solid
Mickaël Szerman,Les Républicains,solid
Denis Olivenne,Libération,solid
Céline Bekerman,LICRA,solid
Alain Jakubowicz,LICRA,solid
Nathalie Boy de la Tour,Ligue de football professionnel,solid
